2026-06-16 15:51:28 | GET | /
2026-06-16 15:51:32 | GET | /swagger/index.html
2026-06-16 15:51:32 | GET | /swagger/swagger-ui.css
2026-06-16 15:51:32 | GET | /swagger/index.css
2026-06-16 15:51:32 | GET | /swagger/swagger-ui-bundle.js
2026-06-16 15:51:32 | GET | /swagger/index.js
2026-06-16 15:51:32 | GET | /swagger/swagger-ui-standalone-preset.js
2026-06-16 15:51:33 | GET | /swagger/v1/swagger.json
2026-06-16 15:51:55 | POST | /api/auth/register
2026-06-16 15:52:23 | POST | /api/auth/login
2026-06-16 15:54:24 | POST | /api/Zones
2026-06-16 16:53:09 | GET | /
2026-06-16 16:53:22 | GET | /swagger/index.html
2026-06-16 16:53:22 | GET | /swagger/swagger-ui.css
2026-06-16 16:53:22 | GET | /swagger/swagger-ui-bundle.js
2026-06-16 16:53:22 | GET | /swagger/swagger-ui-standalone-preset.js
2026-06-16 16:53:22 | GET | /swagger/v1/swagger.json
2026-06-16 16:54:08 | POST | /api/auth/register
2026-06-16 16:54:31 | POST | /api/auth/login
2026-06-16 16:55:33 | POST | /api/Zones
2026-06-16 16:55:54 | POST | /api/Zones
2026-06-16 16:59:21 | POST | /api/auth/login
2026-06-16 16:59:30 | POST | /api/auth/register
2026-06-16 16:59:37 | POST | /api/auth/login
2026-06-16 17:00:41 | POST | /api/Zones
2026-06-16 17:02:06 | POST | /api/Zones
2026-06-16 17:03:43 | POST | /api/Zones
2026-06-16 17:05:47 | POST | /api/Categories
2026-06-16 17:07:33 | POST | /api/StockItems
2026-06-16 23:44:46 | GET | /
2026-06-16 23:44:54 | GET | /s
2026-06-16 23:44:58 | GET | /s
2026-06-16 23:45:03 | GET | /swagger/index.html
2026-06-16 23:45:03 | GET | /swagger/v1/swagger.json
2026-06-16 23:47:38 | POST | /api/auth/login
2026-06-16 23:49:26 | POST | /api/Zones
2026-06-16 23:49:49 | POST | /api/Zones
2026-06-16 23:51:10 | POST | /api/Categories
2026-06-16 23:52:51 | POST | /api/v1/Vendors
2026-06-16 23:56:33 | POST | /api/StockItems
2026-06-17 17:52:22 | GET | /
2026-06-17 17:52:33 | GET | /swagger/index.html
2026-06-17 17:52:33 | GET | /swagger/v1/swagger.json
2026-06-17 17:53:01 | POST | /api/auth/login
2026-06-17 17:58:58 | POST | /api/v1/Vendors
2026-06-17 17:59:25 | POST | /api/StockItems
2026-06-18 09:03:13 | GET | /api/Zones
2026-06-18 09:03:38 | GET | /api/Zones
2026-06-18 09:03:43 | GET | /api/Zones
2026-06-18 09:03:46 | GET | /api/Zones
2026-06-18 09:03:49 | GET | /api/Zones
2026-06-18 09:07:17 | GET | /api/Zones
2026-06-18 09:27:08 | GET | /api/Zones
